Filename,Mean,HM,Median,Median_Group,Median_High,Median_Low,Mode,Std.Pop,Std,Variance_P,Variance,Min,Max,Range,Q1,Q2,Q3,IQR,85thPercentile,Skewness,Kurtosis, Jerk_Min, Jerk_Max, Jerk_Mean, Snap_Min, Snap_Max, Snap_Mean,Rating
97,86.31,86.28594,86.55,86.1,86.6,86.5,84.4,1.439583,1.457923,2.0724,2.125538,83.6,88.6,5,84.95,86.55,87.75,2.8,88,-0.11992,-1.21786,0,0,0,0,0,0,4
98,87.24,87.13139,88.35,88,88.5,88.2,90.3,3.049656,3.088506,9.3004,9.538872,81.8,90.8,9,83.6,88.35,90,6.4,90.3,-0.53496,-1.38069,0,0,0,0,0,0,4
99,87.2375,87.23373,87.2,87.36667,87.2,87.2,87.6,0.573449,0.580754,0.328844,0.337276,86,88.4,2.4,86.85,87.2,87.65,0.8,87.8,0.088064,-0.56276,0,0,0,0,0,0,4
100,88.9575,88.951,89.1,89.26667,89.1,89.1,89.5,0.755608,0.765234,0.570944,0.585583,86,90.7,4.7,88.6,89.1,89.45,0.85,89.5,-1.51244,5.142748,0,0,0,0,0,0,4
101,87.0925,87.08455,86.95,86.5,87,86.9,87,0.837075,0.847738,0.700694,0.71866,85.1,90,4.9,86.8,86.95,87.1,0.3,87.85,1.382127,3.689025,0,0,0,0,0,0,4
102,90.0825,89.90664,87.8,87.8,87.8,87.8,86.9,4.049314,4.1009,16.39694,16.81738,85.6,97.9,12.3,86.9,87.8,93.05,6.15,96.75,0.833156,-0.79173,0,0,0,0,0,0,5
103,83.3775,77.80586,90.65,90.3,90.8,90.5,91.2,17.01315,17.22989,289.4472,296.869,33.9,97.9,64,80.95,90.65,93.2,12.25,95.85,-1.6857,1.794797,0,71.8907261,0.179726815,-718907.261,5168.276499,-1784.347461,4
104,128.79,128.7388,128.5,128.3,128.8,128.2,127.2,2.569416,2.602149,6.6019,6.771179,124.7,133,8.3,126.25,128.5,131.45,5.2,131.95,0.105217,-1.49904,0,0,0,0,0,0,4
105,103.8575,101.9009,97.9,97.9,97.9,97.9,99.4,15.54595,15.74399,241.6764,247.8733,90.4,137.1,46.7,93.1,97.9,104.2,11.1,132.5,1.369638,0.272559,0,0,0,0,0,0,5
106,85.0675,85.00426,85.4,85,85.5,85.3,82.7,2.327594,2.357246,5.417694,5.556609,80,92,12,82.7,85.4,86.7,4,87.2,0.332566,0.588423,0,0,0,0,0,0,4
107,79.365,79.23324,79.3,79.3,79.3,79.3,79.1,3.220369,3.261394,10.37078,10.63669,72.2,86,13.8,77.25,79.3,81.6,4.35,82.55,-0.1451,-0.2895,0,0,0,0,0,0,5
108,92.89,92.83078,92.85,92.4,92.9,92.8,94.9,2.324091,2.353699,5.4014,5.539897,86.4,96.5,10.1,91.4,92.85,94.8,3.4,95.2,-0.70219,0.666382,0,0,0,0,0,0,4
109,91.9075,91.79714,90.95,90.7,91.2,90.7,96.7,3.205416,3.246251,10.27469,10.53815,87.7,96.9,9.2,88.95,90.95,95.65,6.7,96.4,0.401207,-1.46185,0,0,0,0,0,0,5
110,93.135,93.08827,92.8,92.4,92.9,92.7,91.8,2.091955,2.118605,4.376275,4.488487,90,96.9,6.9,91.35,92.8,95.2,3.85,95.75,0.265934,-1.39869,0,0,0,0,0,0,4
111,91.9325,91.78991,91.35,90.9,91.4,91.3,87.5,3.619074,3.665178,13.09769,13.43353,85.6,97.5,11.9,89.2,91.35,95.6,6.4,96.45,0.013908,-1.14113,0,0,0,0,0,0,4
112,108.2625,105.9439,104.25,105.4,105.9,102.6,91.3,16.14956,16.3553,260.8083,267.4957,89.4,136.5,47.1,92.95,104.25,122.1,29.15,128.95,0.330721,-1.53274,0,0,0,0,0,0,4
113,133.75,133.3998,132.75,132.3,132.8,132.7,133.9,6.86604,6.953509,47.1425,48.35128,120.1,147.3,27.2,129.25,132.75,138.4,9.15,142.25,0.206137,-0.47236,0,10000,25,-100000000,100000000,0,4
114,85.9575,84.50532,90.15,90,90.5,89.8,86.4,10.63992,10.77547,113.2079,116.1107,62.7,100.3,37.6,76.8,90.15,93.45,16.65,96.05,-0.67865,-0.76697,0,0,0,0,0,0,4
115,78.9725,78.86203,80.1,80.1,80.1,80.1,79.8,2.896635,2.933536,8.390494,8.605635,72.2,83.8,11.6,77.9,80.1,80.6,2.7,81,-1.04024,0.303058,0,0,0,0,0,0,5
116,86.165,86.10019,86,86.3,86,86,86,2.331046,2.360742,5.433775,5.573103,79.1,90.3,11.2,85.6,86,87.45,1.85,88.6,-0.96037,1.761675,0,0,0,0,0,0,5
117,89.03,88.94626,88.25,87.8,88.3,88.2,87.2,2.749018,2.784039,7.5571,7.750872,83,95.7,12.7,87.2,88.25,91,3.8,92.35,0.508767,-0.09327,0,0,0,0,0,0,5
118,80.69,80.6473,80.45,80,80.5,80.4,78.8,1.87,1.893823,3.4969,3.586564,77.9,85,7.1,78.95,80.45,82,3.05,82.65,0.695111,-0.31574,0,0,0,0,0,0,5
119,78.755,78.70561,78.6,78.3,78.8,78.4,79.5,1.98065,2.005882,3.922975,4.023564,75.9,83.6,7.7,76.95,78.6,80.15,3.2,80.75,0.390397,-0.47459,0,0,0,0,0,0,4
120,82.525,82.47459,82.3,82.3,82.3,82.3,82.9,2.049116,2.07522,4.198875,4.306538,78.4,87.4,9,81.15,82.3,83.45,2.3,85.05,0.436834,-0.02691,0,0,0,0,0,0,5
121,91.63,91.3634,90.75,90.3,90.8,90.7,88.1,4.889335,4.951622,23.9056,24.51856,81.3,99.1,17.8,88.85,90.75,96.2,7.35,97.25,-0.34876,-0.63984,0,0,0,0,0,0,4
122,85.84,85.74228,86.5,86.25,86.5,86.5,86.5,2.87148,2.908061,8.2454,8.456821,78.9,90.1,11.2,83.75,86.5,88.25,4.5,88.6,-0.48933,-0.60736,0,0,0,0,0,0,4
123,83.4575,83.444,83.6,83.43333,83.6,83.6,83.8,1.061341,1.074861,1.126444,1.155327,81.5,86.4,4.9,82.75,83.6,84.05,1.3,84.5,-0.00207,0.359032,0,0,0,0,0,0,4
124,81.8275,81.67169,81.85,81.7,82.2,81.5,85.9,3.563916,3.609318,12.70149,13.02717,76.1,86.9,10.8,78.45,81.85,85.55,7.1,85.9,-0.06795,-1.5657,0,0,0,0,0,0,4
125,83.9325,83.834,84,84.2,84.7,83.3,86.8,2.868309,2.904849,8.227194,8.438147,79.2,88.2,9,81,84,86.7,5.7,86.85,-0.13317,-1.64625,0,0,0,0,0,0,4
126,81.285,81.1405,82.75,82.3,82.8,82.7,84.3,3.400114,3.443429,11.56078,11.85721,75.2,86.1,10.9,78.05,82.75,84.4,6.35,84.8,-0.36827,-1.39483,0,0,0,0,0,0,4
127,84.3425,84.3114,84.1,83.7,84.2,84,83.7,1.623713,1.644398,2.636444,2.704045,81.5,87.6,6.1,83.25,84.1,85.7,2.45,86.35,0.298112,-0.70361,0,0,0,0,0,0,5
128,86.1325,86.07383,85.35,84.9,85.4,85.3,85.2,2.269514,2.298426,5.150694,5.282763,82,91,9,84.9,85.35,87,2.1,89.6,0.788881,-0.13386,0,0,0,0,0,0,5
129,82.9025,82.844,82.75,82.3,82.8,82.7,85.3,2.208901,2.237041,4.879244,5.004353,78.8,88.3,9.5,81.5,82.75,84.3,2.8,85.15,0.2879,0.125634,0,0,0,0,0,0,4
130,84.7525,84.2047,86.4,86.7,87.2,85.6,92.2,6.733758,6.819542,45.34349,46.50615,73.7,92.2,18.5,77.4,86.4,91.6,14.2,91.95,-0.27607,-1.63463,0,0,0,0,0,0,4
